theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
8.561,157.094,-142,60,1024,1035.538,6580,-1540,-9940,11305,-148.533,swipe left
56.737,29.022,1997,1108,1498,2731.24,-105280,-29820,468720,34567,27.715,swipe left
45.006,2.179,1997,76,1998,2825.913,257110,194880,-849030,3005,42.827,swipe left
46.608,164.054,-833,238,819,1192.18,-183540,-167020,442540,-8875,-117.446,swipe left
14.466,158.994,-237,91,984,1016.221,15680,-5880,-101220,34967,-144.528,swipe left
56.103,135.014,-1998,1997,1898,3403.294,-31500,-190960,586810,13826,-78.911,swipe left
52.979,-7.556,1960,-260,1491,2476.344,-5320,156100,-494970,-2271,60.535,swipe left
11.809,-176.672,-172,-10,824,841.819,23940,59780,-6860,-33538,188.481,swipe left
16.062,153.334,-229,115,890,926.156,30730,20790,-112980,48826,-137.272,swipe left
81.94,135.014,-1998,1997,400,2853.07,-153370,-115570,515200,-3560,-53.074,swipe left
28.595,8.193,757,109,1403,1597.917,84840,93660,-333060,-25253,20.402,swipe left
17.094,-176.987,-285,-15,928,970.893,36260,-7980,-60410,-20426,194.081,swipe left
36.054,166.932,-629,146,887,1097.144,28140,13300,-33740,41469,-130.878,swipe left
56.736,135.014,-1998,1997,1853,3378.405,-88410,-163170,750400,4922,-78.278,swipe left
45.131,-5.775,1997,-202,1998,2832.104,106960,170240,-805000,-5490,50.906,swipe left
19.189,178.322,-239,7,687,727.419,-61670,-12740,73430,-18760,-159.133,swipe left
11.378,146.652,-155,102,922,940.485,3640,3150,-13930,13592,-135.274,swipe left
45.125,-5.662,1997,-198,1998,2831.822,6510,57120,71960,8792,50.787,swipe left
121.953,135.014,-1998,1997,-1762,3329.362,-144900,-25410,-601160,25479,-13.061,swipe left
31.24,8.185,876,126,1459,1706.438,103460,-83650,674800,-27427,23.055,swipe left
9.2,149.281,-138,82,991,1003.916,-140,-700,1890,-732,-140.081,swipe left
45.155,-6.229,1997,-218,1998,2833.29,61110,79170,-41510,41628,51.384,swipe left
80.612,135.014,-1998,1997,467,2863.232,-263130,-30730,-490140,14357,-54.402,swipe left
22.321,8.693,569,87,1402,1515.563,213640,-85610,591500,-36034,13.628,swipe left
29.738,6.447,646,73,1138,1310.606,53550,14490,-198170,33873,23.291,swipe left
112.255,135.014,-1998,1997,-1156,3052.269,-204680,-116690,673610,13834,-22.759,swipe left
46.163,2.883,1866,94,1794,2590.217,147070,87710,-482090,-33099,43.28,swipe left
28.436,-179.247,-457,-6,844,959.802,20370,34160,-15120,1395,207.683,swipe left
22.859,-8.822,567,-88,1361,1477.008,14980,-3640,-71540,40995,31.681,swipe left
70.344,135.014,-1998,1997,1009,2999.682,-72030,-53060,398160,-9886,-64.67,swipe left
46.549,-4.371,1923,-147,1827,2656.589,69440,61110,-344260,-9591,50.92,swipe left
12.629,-168.572,-188,-38,856,877.225,-38220,-22680,49280,-19497,181.201,swipe left
1.649,3.691,31,2,1079,1079.447,33880,18270,-15260,32604,-2.042,swipe left
66.457,123.081,-1239,1902,989,2476.054,-119630,-35910,524720,2701,-56.624,swipe left
46.681,-9.271,1997,-326,1908,2781.141,78610,-31780,-485030,9449,55.952,swipe left
26.57,-178.751,-413,-9,826,923.539,-140,42840,-13230,-40083,205.321,swipe left
14.729,174.748,-272,25,1039,1074.304,-770,7070,-20930,17910,-160.019,swipe left
49.438,13.786,1997,490,1760,2706.604,-1330,97370,334250,14358,35.652,swipe left
48.144,26.84,1243,629,1248,1870.345,183750,-17850,-841190,21960,21.304,swipe left
4.642,116.861,-39,77,1063,1066.498,-179410,-100520,561330,-29971,-112.219,swipe left
8.585,171.694,-137,20,917,927.393,17010,17570,-35980,38948,-163.109,swipe left
50.57,110.835,-760,1997,1757,2766.343,-21490,-420,753480,9212,-60.265,swipe left
59.694,-9.503,1571,-263,931,1844.985,39200,41860,-878360,-4840,69.197,swipe left
13.349,-168.161,-229,-48,986,1013.38,-45920,-69580,164500,-34596,181.51,swipe left
2.915,-163.072,-46,-14,944,945.223,-1680,9030,-10430,4166,165.987,swipe left
49.642,-5.178,1997,-181,1704,2631.422,16520,51660,122150,21823,54.82,swipe left
105.857,135.259,-1998,1980,-799,2924.176,-91700,19040,-457870,-10833,-29.402,swipe left
11.872,47.544,172,188,1212,1238.495,73640,-86940,365050,-3560,-35.672,swipe left
2.928,-175.333,-49,-4,961,962.256,-5530,350,3570,-3543,178.261,swipe left
45.352,-2.179,1997,-76,1974,2808.996,23310,49000,88620,29477,47.531,swipe left
117.73,135.014,-1998,1997,-1485,3191.431,-104160,21000,-450170,17796,-17.284,swipe left
17.433,25.294,383,181,1349,1413.948,44660,-104230,407260,-33479,-7.861,swipe left
29.02,164.104,-453,129,849,970.902,19040,13720,-45220,44703,-135.084,swipe left
54.728,135.014,-1998,1997,1998,3460.06,-126070,-105140,722610,2511,-80.286,swipe left
45.019,-2.78,1997,-97,1998,2826.556,175770,135870,-803950,-22500,47.799,swipe left
18.017,179.611,-295,2,907,953.77,-63700,-37520,109410,-11911,-161.594,swipe left
2.534,-139.844,-32,-27,946,946.926,28140,7280,13650,-12142,142.378,swipe left
55.776,17.934,1996,646,1427,2537.254,-63420,-1050,321160,41101,37.842,swipe left
80.715,42.392,1274,1163,282,1747.904,166040,115220,-920150,-17847,38.323,swipe left
35.395,171.901,-752,107,1069,1311.378,-122710,-135520,669340,-7844,-136.506,swipe left
5.272,-34.734,75,-52,989,993.201,4130,14980,10500,-5511,40.006,swipe left
41.822,100.769,-206,1083,1232,1653.223,-75460,-138250,379050,32557,-58.947,swipe left
56.316,3.124,1997,109,1333,2403.493,165480,266490,-647780,-3808,53.192,swipe left
41.061,174.834,-708,64,816,1082.227,-101710,-144550,292460,-11979,-133.773,swipe left
5.865,-160.104,-105,-38,1087,1092.72,420,7840,-11340,4567,165.969,swipe left
50.72,-2.58,1997,-90,1635,2582.505,-1890,33810,144340,29314,53.3,swipe left
91.36,135.086,-1998,1992,-67,2822.154,-83580,12880,-457030,21660,-43.726,swipe left
38.44,-6.252,1077,-118,1365,1742.721,94010,-60060,278530,-16625,44.692,swipe left
22.585,-164.754,-488,-133,1216,1317,10570,-14770,-17430,-9168,187.339,swipe left
67.153,125.147,-1406,1997,1029,2650.223,-27160,-15400,-81690,41764,-57.994,swipe left
61.013,72.342,530,1665,968,1997.535,406630,18060,922670,3238,-11.329,swipe left
26.546,-124.014,-301,-446,1077,1203.929,-460180,45500,-1285480,-2403,150.56,swipe left
11.146,-33,174,-113,1053,1073.244,-26110,47670,-65170,-22009,44.146,swipe left
69.291,133.513,-1896,1997,1041,2943.893,16940,-7910,-32900,17186,-64.222,swipe left
61.757,45,1997,1997,1517,3205.823,388920,-54250,860860,-48935,16.757,swipe left
18.589,-109.358,-130,-370,1166,1230.185,-386610,118230,-1043980,1743,127.947,swipe left
13.27,-100.701,-48,-254,1096,1126.071,-16450,1120,-3500,52,113.971,swipe left
62.44,135.732,-1980,1930,1443,3118.901,-9170,-2590,-38500,22557,-73.292,swipe left
77.154,45,1997,1997,644,2896.679,402010,-121800,924420,10743,32.154,swipe left
38.408,-140.902,-587,-477,954,1217.462,-384370,217770,-1324470,-6019,179.31,swipe left
4.843,-27.45,77,-40,1024,1027.669,-11200,4620,-10150,-9134,32.293,swipe left
69.542,35.051,1997,1401,910,2603.634,-7560,-4620,-14420,15871,34.491,swipe left
54.098,-162.446,-1998,-632,1517,2587.028,-39760,-6580,-5950,33166,216.544,swipe left
51.297,-120.602,-291,-492,458,732.467,-75670,-29190,-240590,-13769,171.899,swipe left
8.115,-112.699,-64,-153,1163,1174.765,-40180,32340,-218330,-41025,120.814,swipe left
56.314,27.599,1997,1044,1502,2708.126,13860,-6720,-42910,11374,28.715,swipe left
65.036,-159.049,-1998,-765,996,2359.924,-44310,14070,-95830,-4184,224.085,swipe left
76.68,12.395,1679,369,407,1766.593,-22400,-85330,-114100,33170,64.285,swipe left
24.236,-128.848,-327,-406,1158,1269.932,-3990,-3920,5530,-3968,153.084,swipe left
53.122,138.607,-1998,1761,1998,3329.433,-43750,3360,-49420,51888,-85.485,swipe left
61.98,44.58,1997,1968,1492,3176.019,280000,-100240,764820,-21001,17.4,swipe left
30.2,-123.498,-274,-414,853,986.955,-218330,197820,-948640,-12837,153.698,swipe left
14.156,-143.087,-217,-163,1076,1109.699,-2870,4690,5880,5205,157.243,swipe left
91.561,45,1997,1997,-77,2825.233,-2730,-10220,-14420,-56,46.561,swipe left
88.643,-170.203,-1998,-345,48,2028.135,-11130,-83300,313040,49034,258.846,swipe left
33.067,-122.321,-267,-422,767,915.238,-107100,140770,-597030,-8964,155.388,swipe left
12.431,-132.19,-155,-171,1047,1072.135,-73710,28700,-157430,13226,144.621,swipe left
67.595,44.985,1997,1996,1164,3054,26320,-12320,-2590,-14922,22.61,swipe left
80.864,-161.41,-1998,-672,339,2135.066,-4900,-54600,-20230,6369,242.274,swipe left
34.397,-35.906,366,-265,660,799.863,-100940,76090,-233030,3930,70.303,swipe left
13.944,-137.489,-192,-176,1049,1080.851,21210,700,10080,-16865,151.433,swipe left
110.037,45,1997,1997,-1030,3006.146,-2030,-24430,-19390,26192,65.037,swipe left
69.282,160.148,-1997,721,803,2269.947,-5810,2100,592620,24525,-90.866,swipe left
39.469,-17.324,779,-243,991,1283.733,-65870,86450,-973770,927,56.793,swipe left
30.356,165.559,-532,137,938,1087.031,26320,25410,-48580,53593,-135.203,swipe left
56.788,44.784,1997,1982,1842,3362.929,-186760,-69720,570290,-36306,12.004,swipe left
44.999,-1.749,1997,-61,1998,2825.55,312340,116480,-876540,33361,46.748,swipe left
46.937,167.237,-958,217,918,1344.461,-152600,-70630,380170,-43357,-120.3,swipe left
31.183,-4.006,-196,17,993,1012.301,-700,-5600,1470,3237,35.189,swipe left
67.625,132.045,771,-54,1277,1492.677,10850,35770,-14770,25454,-64.42,swipe left
35.72,-3.63,-1801,1997,1107,2908.102,-115360,-174300,567490,20892,39.35,swipe left
28.785,179.007,1182,-75,1647,2028.634,136220,154560,-664790,-15439,-150.222,swipe left
19.916,6.111,-131,4,1000,1008.551,1470,-1960,-8960,6321,13.805,swipe left
81.761,135.014,495,53,1374,1461.406,27020,47600,-20300,48279,-53.253,swipe left
36.711,-12.967,-1998,1997,409,2854.346,-190960,-199850,569590,6484,49.678,swipe left
27.042,177.619,1090,-251,1500,1871.122,199710,164780,-601930,-37429,-150.577,swipe left
7.421,12.482,-68,-7,1030,1032.265,1610,-2170,1540,567,-5.061,swipe left
52.265,20.526,131,29,1030,1038.702,12320,18690,3010,9482,31.739,swipe left
51.838,19.435,1923,720,1589,2596.391,-126140,-70420,358680,22336,32.403,swipe left
13.611,157.456,1998,705,1665,2694.671,232400,257950,-870310,-14332,-143.845,swipe left
12.653,174.691,-119,-9,1001,1008.088,3360,-1540,-140,578,-162.038,swipe left
53.736,-1.089,-226,21,1011,1036.165,4550,-20860,-14840,25857,54.825,swipe left
98.347,140.4,1998,-38,1466,2478.427,-38500,47950,135730,20215,-42.053,swipe left
4.436,-11.449,-1754,1451,-334,2300.754,-14490,53200,-551040,-10425,15.885,swipe left
9.172,-2.96,-89,17,970,974.222,1890,5110,-9520,10206,12.132,swipe left
51.82,75.979,174,-9,1079,1092.976,630,33880,19390,18343,-24.159,swipe left
57.832,19.486,419,1678,1360,2200.192,-151340,-172270,551110,19651,38.346,swipe left
16.932,154.259,1998,707,1333,2503.745,267260,244300,-1018500,-31762,-137.327,swipe left
10.147,180,-184,0,1028,1044.337,4270,-910,-3570,3579,-169.853,swipe left
56.509,-3.638,1997,-127,1324,2399.398,45570,68040,103530,43741,60.147,swipe left
