theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
26.847,-133.069,447,1997,1140,2342.523,152950,-61530,955710,8814,159.916,swipe right
13.319,-13.278,0,-165,998,1011.547,-910,2240,2240,-107,26.597,swipe right
88.521,82.356,250,-59,1085,1114.991,-3780,3780,39060,37416,6.165,swipe right
95.149,166.735,268,1997,52,2015.573,-214270,12460,-975870,-34284,-71.586,swipe right
14.078,-44.515,-1998,471,-185,2061.084,16730,149660,489160,31070,58.593,swipe right
34.432,-3.096,20,-195,994,1013.144,-490,420,3010,1461,37.528,swipe right
56.397,44.985,536,-29,783,949.329,-15120,34090,116340,48027,11.412,swipe right
18.789,-30.672,1998,1997,1877,3391.628,-363650,291760,-1196930,-15742,49.461,swipe right
14.151,-89.449,290,-172,991,1046.787,501900,-348600,740670,25748,103.6,swipe right
10.762,-57.211,37,-180,975,992.166,-210,1190,1050,-48,67.973,swipe right
45.457,169.786,105,-163,1020,1038.264,2030,-3500,-980,1380,-124.329,swipe right
54.728,135.014,-1998,360,1998,2848.439,-278460,-19740,-485730,50094,-80.286,swipe right
4.946,-124.67,-1998,1997,1998,3460.06,528430,-206920,1908830,-31473,129.616,swipe right
10.338,-64.668,103,-177,975,996.274,-3010,1260,2590,1441,75.006,swipe right
74.997,45.682,80,-169,1025,1041.914,-2520,-910,8540,8755,29.315,swipe right
88.202,175.073,1950,1997,748,2889.638,-89180,328020,-1289120,21050,-86.871,swipe right
20.155,-38.181,-1810,156,57,1817.604,140000,-373310,945350,16520,58.336,swipe right
15.443,-26.473,-41,-183,1012,1029.229,-4340,-2310,4690,5820,41.916,swipe right
52.602,-169.917,251,-125,1015,1053.019,2940,1890,5670,2118,222.519,swipe right
114.342,44.985,-1794,-319,1393,2293.609,-47040,20720,-115010,15072,69.357,swipe right
50.122,-150.888,1998,1997,-1278,3100.531,119350,-171850,903350,16699,201.01,swipe right
18.205,-26.565,113,-194,985,1010.262,-3010,3500,-2730,-2192,44.77,swipe right
90.509,99.159,298,-149,1013,1066.383,-4480,-7700,47810,47461,-8.65,swipe right
91.041,158.674,-322,1997,-18,2022.873,-260960,155960,-977550,678,-67.633,swipe right
13.63,-32.554,-1998,780,-39,2145.209,-57820,-10990,444920,-25586,46.184,swipe right
11.669,-75.77,36,-199,1011,1031.027,980,2450,4130,1963,87.439,swipe right
63.316,159.224,53,-209,1044,1066.032,-3010,3150,4760,4363,-95.908,swipe right
54.728,135.014,-1998,758,1074,2391.661,-128800,-52500,-381430,14539,-80.286,swipe right
20.782,-156.314,-1998,1997,1998,3460.06,603540,-171500,2271500,5139,177.096,swipe right
16.911,-43.197,36,-209,1006,1028.111,-2030,-70,5180,4479,60.108,swipe right
47.383,-166.953,213,-200,961,1004.435,-2800,8680,2660,3588,214.336,swipe right
78.553,44.985,-1998,-463,1887,2786.959,-18410,-59570,81550,46647,33.568,swipe right
42.687,-159.474,1998,1997,572,2882.22,-177100,101850,-865270,3081,202.161,swipe right
25.416,-164.97,-21,-187,1020,1037.212,1190,770,10150,9948,190.386,swipe right
53.759,100.307,-581,-156,1266,1401.66,16170,-3290,114800,-2724,-46.548,swipe right
65.537,159.727,-363,1996,1487,2515.343,-191520,254660,-807100,18605,-94.19,swipe right
9.738,-131.451,-1998,738,969,2340.001,-208600,-350280,614460,4955,141.189,swipe right
13.345,-112.19,-3,-176,1008,1023.254,-3990,2240,-2030,-714,125.535,swipe right
71.589,132.734,-93,-228,1038,1066.806,-7000,-28000,560,24687,-61.145,swipe right
45.111,174.937,-1845,1997,905,2865.494,-391650,149450,-775950,26901,-129.826,swipe right
8.573,-76.056,-1998,177,1998,2831.136,481110,-408240,1369060,-1885,84.629,swipe right
8.838,-54.504,-16,-201,1006,1026.008,70,2590,3780,1797,63.342,swipe right
79.422,138.466,92,-129,1019,1031.244,-12950,-18760,50540,55327,-59.044,swipe right
74.862,167.799,-1812,1605,452,2462.452,-204050,98140,-692300,-35890,-92.937,swipe right
21.678,-12.795,-1998,432,553,2117.648,-137900,-193620,679840,-14451,34.473,swipe right
20.047,-157.115,35,-192,1020,1038.503,840,70,-5110,-4553,177.162,swipe right
63.25,102.507,-353,-149,1050,1117.725,-12040,-5390,105490,5823,-39.257,swipe right
94.21,155.638,-443,1997,1031,2290.68,-113190,98770,-904820,9374,-61.428,swipe right
32.499,-15.415,-1992,902,-161,2192.621,-205380,89880,221410,5888,47.914,swipe right
8.078,-86.775,-57,-195,984,1004.753,1750,-2100,5390,3299,94.853,swipe right
59.341,148.237,8,-142,1002,1012.043,4060,350,37450,35666,-88.896,swipe right
54.478,135.55,-1998,1237,1393,2731.78,-88550,-12600,-617540,9498,-81.072,swipe right
21.834,-13.125,-1998,1960,1998,3438.838,247240,-494620,2281440,-9857,34.959,swipe right
13.238,-30.757,86,-152,960,975.756,4200,-1680,1400,-712,43.995,swipe right
55.433,146.23,205,-122,1014,1041.683,14070,-1190,54250,54430,-90.797,swipe right
54.728,135.014,-1998,1336,1656,2918.772,-175840,-5250,-481950,-43109,-80.286,swipe right
25.877,0.381,-1998,1997,1998,3460.06,697900,-719250,2713900,16794,25.496,swipe right
4.798,-88.025,41,-99,1048,1053.463,4060,-1890,5810,6037,92.823,swipe right
46.482,-178.337,3,-87,1037,1040.647,-210,1820,25200,24396,224.819,swipe right
74.429,82.723,-1998,-58,1898,2756.405,-145250,21420,15610,8090,-8.294,swipe right
23.308,-173.215,255,1997,561,2089.917,150780,-253470,1660960,16487,196.523,swipe right
6.989,150.983,98,-134,999,1012.699,-280,-420,7770,6840,-143.994,swipe right
86.433,95.321,-128,71,1194,1202.938,210,12950,175420,13064,-8.888,swipe right
55.919,176.705,-186,1997,125,2009.534,-329000,40040,-1503320,14281,-120.786,swipe right
19.194,-16.389,-1998,115,1354,2416.308,227150,-87850,1268960,-1544,35.583,swipe right
66.907,26.713,-44,-115,990,997.627,1400,70,2940,1823,40.194,swipe right
62.413,44.985,1389,699,663,1690.411,-84420,64750,292670,33913,17.428,swipe right
62.3,-168.101,1998,1997,1476,3187.254,109550,183330,-1266370,-11548,230.401,swipe right
9.354,-76.877,-1998,-421,1072,2306.171,-19180,-296520,1057630,17032,86.231,swipe right
8.354,-79.522,-18,-160,996,1008.93,-1610,630,-490,-727,87.876,swipe right
43.86,-175.421,27,-146,1011,1021.844,1260,910,1050,-255,219.281,swipe right
87.83,44.985,-1798,-144,1877,2603.203,-23310,-4060,283360,24035,42.845,swipe right
28.879,-148.363,1998,1997,107,2826.917,-96810,69860,188720,28552,177.242,swipe right
7.937,-119.693,-96,-116,1010,1021.162,3990,-1050,1680,2206,127.63,swipe right
45.13,-174.539,-69,-121,999,1008.663,-3640,-2520,3710,3549,219.669,swipe right
69.922,84.735,-1998,-191,1998,2832.046,-60130,-174090,327950,36812,-14.813,swipe right
35.705,-149.595,184,1997,733,2135.217,51240,113820,430500,12251,185.3,swipe right
11.785,-23.019,3,-121,989,996.378,-8960,1540,16170,14929,34.804,swipe right
102.422,88.766,193,-82,1005,1026.644,-2170,5460,16590,16485,13.656,swipe right
74.853,-161.901,43,1997,-440,2045.35,-114240,89460,-987980,26559,236.754,swipe right
23.102,-10.594,-1998,-653,569,2177.653,50820,-153650,1172570,-25037,33.696,swipe right
9.687,-92.694,-46,-183,1020,1037.306,-2100,5180,2590,-3003,102.381,swipe right
26.173,-176.045,-8,-170,997,1011.421,-1260,-2730,7700,8026,202.218,swipe right
68.971,44.985,-810,-56,1652,1840.744,-980,-11340,181160,37039,23.986,swipe right
60.059,-159.143,1998,1997,1086,3026.451,-289660,-40390,-758310,5939,219.202,swipe right
41.094,-159.496,-238,-216,967,1019.013,-4970,-1750,6160,6573,200.59,swipe right
71.033,140.964,-714,-267,874,1159.724,6790,-840,-140,-671,-69.931,swipe right
54.728,135.014,-1998,1620,884,2719.9,-119490,18200,-771680,11882,-80.286,swipe right
3.356,-67.067,-1998,1997,1998,3460.06,458640,-129850,2328900,1610,70.423,swipe right
20.652,-7.567,45,-168,1020,1034.721,-7070,-8680,-560,-1802,28.219,swipe right
57.726,44.985,414,-55,1108,1184.096,13230,-3080,64960,25042,12.741,swipe right
16.129,-9.483,1998,1997,1784,3341.058,-166880,527660,-1539720,20344,25.612,swipe right
24.57,-28.972,431,-72,1511,1572.916,254450,-416360,1078560,-6061,53.542,swipe right
10.427,-90.629,106,-143,968,984.23,2660,-4620,20790,21005,101.056,swipe right
97.981,94.808,-2,-182,989,1005.608,-6300,7140,-20020,-19224,3.173,swipe right
102.013,176.477,-168,1997,-281,2023.658,-229740,124390,-1125740,23819,-74.464,swipe right
37.317,-12.127,-1998,123,-426,2046.609,57050,5530,733670,16013,49.444,swipe right
2.863,2.96,-11,-203,981,1001.843,-1960,1820,7350,6035,-0.097,swipe right
54.728,44.985,58,3,1161,1162.451,-13790,19320,109060,33056,9.743,swipe right
18.61,-58.355,1998,1997,1998,3460.06,186130,110740,-1421700,19803,76.965,swipe right
12.985,-86.149,212,-344,1200,1266.206,-143990,-107100,1280370,-19968,99.134,swipe right
19.261,-140.557,37,-188,1015,1032.926,4410,490,8400,7751,159.818,swipe right
54.716,-165.66,-265,-218,982,1040.227,910,-22190,-280,14527,220.376,swipe right
59.56,44.985,-1643,-420,1200,2077.462,-29400,-15820,8330,23833,14.575,swipe right
33.049,-122.244,1998,1997,1660,3276.524,-112420,131040,-169680,-21087,155.293,swipe right
11.615,-97.666,-30,-203,997,1017.898,-630,1680,5460,798,109.281,swipe right
53.884,-173.574,-28,-208,1021,1042.347,420,-3990,17780,17828,227.458,swipe right
54.728,44.985,-1998,-225,1467,2488.918,-58520,-62720,117880,21264,9.743,swipe right
59.626,-11.855,1998,1997,1998,3460.06,61530,477400,-1959370,-14228,71.481,swipe right
10.603,-103.671,20,-176,1013,1028.37,2030,3360,-910,-2695,114.274,swipe right
51.382,-173.758,-45,-185,1017,1034.668,-3010,-140,5740,5951,225.14,swipe right
62.901,46.275,-1975,-216,1587,2542.803,20650,-60270,182770,40814,16.626,swipe right
31.75,23.055,1910,1997,1414,3104.111,-234850,245000,-1311730,-14475,8.695,swipe right
12.044,-34.121,-19,-203,988,1008.818,-350,3850,-3850,-5243,46.165,swipe right
67.957,110.458,183,-124,1036,1059.321,-1050,-1120,51380,50753,-42.501,swipe right
54.728,135.014,-745,1997,863,2299.522,-100100,50330,-811930,-6102,-80.286,swipe right
19.349,-28.363,-1998,1997,1998,3460.06,311640,-620620,2650620,-18296,47.712,swipe right
7.488,-65.907,26,-201,985,1005.635,-1540,-840,4340,2965,73.395,swipe right
51.895,60.409,55,-123,1025,1033.817,23170,-13440,95270,37827,-8.514,swipe right
85.146,151.996,1134,1997,1801,2918.486,-194110,264180,-1030750,4406,-66.85,swipe right
31.917,-14.538,-1903,1012,183,2163.109,-99190,24710,255990,-38230,46.455,swipe right
5.168,-95.024,-8,-91,1010,1014.122,-280,1890,-350,-1548,100.192,swipe right
26.313,43.405,517,489,1439,1605.344,1260,490,14700,13408,-17.092,swipe right
92.938,44.985,1998,1997,-145,2828.61,40810,34300,201530,41292,47.953,swipe right
24.331,-178.861,-453,-9,1002,1099.679,-63490,4200,80220,-22611,203.192,swipe right
31.547,23.953,565,251,1007,1181.64,-2310,-840,5110,4682,7.594,swipe right
70.593,95.69,-199,1997,707,2127.782,-21630,54880,123620,3921,-25.097,swipe right
17.367,-143.925,-431,-314,1705,1786.443,100800,21070,-1309630,35128,161.292,swipe right
6.208,-77.799,24,-111,1044,1050.158,11620,-188790,1027040,-36145,84.007,swipe right
4.406,-90,0,-83,1077,1080.193,2100,2590,16380,15512,94.406,swipe right
70.263,150.574,-1998,1127,823,2437.101,-7630,20860,44240,2156,-80.311,swipe right
65.252,120.917,-1196,1997,1073,2563.153,-46200,-12810,-707070,1837,-55.665,swipe right
2.296,-63.824,29,-59,1639,1640.317,136430,-108710,1802220,7704,66.12,swipe right
5.684,-35.986,84,-61,1043,1048.153,1680,-3640,8680,8122,41.67,swipe right
87.675,117.033,-1019,1997,91,2243.802,-10220,-14070,36960,40822,-29.358,swipe right
127.551,-169.73,-1998,-362,-1561,2561.204,3500,21770,-1102010,-11016,297.281,swipe right
12.448,-17.47,251,-79,1192,1220.698,-112490,-58380,896560,8901,29.918,swipe right
8.572,-15.19,151,-41,1038,1049.726,140,2030,6370,3996,23.762,swipe right
109.114,149.095,-1998,1196,-807,2464.481,-4410,8400,41860,41587,-39.981,swipe right
54.728,135.014,-1998,1997,1998,3460.06,-104720,-21560,-707000,13019,-80.286,swipe right
11.177,-167.408,-291,-65,1509,1538.176,314790,-56560,1946420,-2813,178.585,swipe right
4.706,-107.354,-25,-80,1018,1021.444,140,1470,910,-486,112.06,swipe right
72.072,159.525,-1998,746,690,2241.566,-10920,7840,21420,23753,-87.453,swipe right
55.963,135.014,-1998,1997,1908,3408.882,-103740,-35210,-549570,18137,-79.051,swipe right
12.693,-167.952,-328,-70,1489,1526.304,375690,-89810,1872640,16215,180.645,swipe right
7.214,52.487,76,99,986,993.867,-7700,3150,22050,21751,-45.273,swipe right
49.846,83.713,220,1997,1695,2628.58,-21980,37450,112140,36352,-33.867,swipe right
77.84,179.142,-1536,23,331,1571.427,123060,99470,-1291920,-4260,-101.302,swipe right
21.657,4.444,386,30,975,1049.057,79310,-297430,799470,-22523,17.213,swipe right
5.69,-121.059,-53,-88,1031,1036.105,140,70,630,288,126.749,swipe right
64.222,147.742,-1998,1261,1141,2623.739,-1890,140,4760,3913,-83.52,swipe right
49.595,148.341,-1998,1232,1998,3082.504,-127050,-42980,-735210,38883,-98.746,swipe right
21.904,11.853,486,102,1235,1331.099,187390,-71120,1861790,8445,10.051,swipe right
32.182,179.54,-623,5,990,1169.723,4760,2660,17500,15398,-147.358,swipe right
52.09,53.364,1485,1997,1938,3154.215,-12880,103040,108080,18829,-1.274,swipe right
111.784,144.017,-982,713,-485,1306.873,42630,356020,-1843800,7363,-32.233,swipe right
6.588,-116.565,-50,-100,968,974.435,-2520,-980,7490,6925,123.153,swipe right
61.496,179.655,-1998,12,1085,2273.625,-15260,25830,58450,22567,-118.159,swipe right
96.755,121.692,-1233,1997,-278,2363.383,-14980,-30520,-254590,7451,-24.937,swipe right
8.626,-140.691,-160,-131,1363,1378.597,-56770,-527240,2244620,-31044,149.317,swipe right
2.612,-110.282,-17,-46,1075,1076.118,0,-1470,3850,2635,112.894,swipe right
52.15,-171.569,-1842,-273,1447,2358.241,-3570,8400,34440,32512,223.719,swipe right
60.734,44.985,1998,1997,1583,3238.194,-20230,45570,131810,5066,15.749,swipe right
31.989,12.961,630,145,1035,1220.307,-502250,160230,647010,1258,19.028,swipe right
12.653,-178.169,-219,-7,976,1000.292,-560,5250,16310,15236,190.822,swipe right
76.96,151.606,-1998,1080,526,2331.325,-12320,45080,104370,8433,-74.646,swipe right
80.12,135.014,-1998,1997,492,2867.416,-32830,-3500,-635600,21285,-54.894,swipe right
37.358,-166.012,-823,-205,1111,1397.739,120330,-353430,2100000,13507,203.37,swipe right
8.678,-16.699,150,-45,1026,1037.882,-1050,210,17570,15126,25.377,swipe right
54.818,-170.761,-1998,-325,1427,2476.682,4900,-2800,43120,43406,225.579,swipe right
55.506,44.985,1998,1997,1941,3427.461,-86520,60480,-18830,-8479,10.521,swipe right
12.918,-171.906,-218,-31,960,984.928,-377440,475720,-373030,-41943,184.824,swipe right
42.772,-174.067,-1049,-109,1140,1553.023,11550,3430,22610,23088,216.839,swipe right
59.217,66.725,859,1997,1295,2530.398,-23940,-770,52780,-26315,-7.508,swipe right
65.035,150.378,-1998,1136,1070,2535.231,-64750,-22540,-924770,-6467,-85.343,swipe right
11.269,-114.943,-80,-172,952,970.715,-394030,-191170,1530760,3153,126.212,swipe right
37.131,-175.489,-862,-68,1142,1432.421,560,14210,35140,34814,212.62,swipe right
51.385,57.037,1295,1997,1901,3046.117,-23590,-12460,72660,-24950,-5.652,swipe right
45.163,9.721,1932,331,1949,2764.197,-226660,110110,-1292970,3466,35.442,swipe right
10.58,-23.552,156,-68,911,926.758,501130,-105000,566650,25214,34.132,swipe right
31.249,-167.18,-668,-152,1129,1320.594,-7280,17780,35280,-15492,198.429,swipe right
53.282,171.164,-1248,194,942,1575.596,-7560,-15120,-47880,11593,-117.882,swipe right
54.144,118.16,-1069,1997,1637,2794.734,-63350,-92680,-345870,36457,-64.016,swipe right
9.463,-13.746,233,-57,1439,1458.855,301140,317170,2422210,3519,23.209,swipe right
7.064,-126.96,-76,-101,1020,1027.802,2100,1890,5950,4095,134.024,swipe right
41.956,-171.16,-1106,-172,1245,1674.169,-35490,12110,43260,47752,213.116,swipe right
71.869,44.985,1998,1997,925,2972.48,26740,-17360,-53970,-51244,26.884,swipe right
40.564,2.448,1684,72,1969,2591.91,-390040,224210,-1206240,54201,38.116,swipe right
9.328,-2.694,170,-8,1036,1049.885,491750,-306390,1097250,-48006,12.022,swipe right
48.542,-169.503,-896,-166,805,1215.893,-10220,10640,20650,18902,218.045,swipe right
60.782,144.159,-1977,1428,1364,2794.317,-36960,83580,108920,12064,-83.377,swipe right
54.728,135.014,-1998,1997,1998,3460.06,61880,-384020,-723240,-8515,-80.286,swipe right
14.332,0,337,0,1319,1361.37,5460,72730,2021950,15917,14.332,swipe right
24.402,175.634,-655,50,1448,1590.04,-11830,8400,54950,55869,-151.232,swipe right
57.322,44.985,1998,1997,1812,3356.092,-7490,3290,19180,-12678,12.337,swipe right
29.839,4.349,1065,81,1862,2146.585,-127050,689360,-2076130,-25257,25.49,swipe right
11.429,-151.525,-177,-96,996,1016.15,164500,-719810,2035670,24389,162.954,swipe right
7.889,-32.371,112,-71,957,966.143,5740,-5740,16450,15574,40.26,swipe right
46.015,-168.927,-1998,-391,1965,2829.507,-51590,-81130,-77070,20120,214.942,swipe right
75.638,38.757,1998,1604,656,2644.835,57610,70490,420560,2892,36.881,swipe right
168.571,105.674,-55,196,-1007,1027.37,-194740,-83930,-441140,-26114,62.897,swipe right
33.218,166.776,-932,219,1462,1747.578,28210,14070,191030,522,-133.558,swipe right
69.931,44.985,1998,1997,1032,3007.496,-107590,77070,-448420,19858,24.946,swipe right
57.328,-169.066,-1874,-362,1224,2267.398,63210,-89040,272370,-1346,226.394,swipe right
12.029,-47.185,126,-136,870,889.534,31850,-14630,-26880,-2919,59.214,swipe right
15.115,-27.349,232,-120,967,1001.655,-9520,770,9310,11780,42.464,swipe right
45.191,-173.376,-1998,-232,1998,2835.106,-22330,-115080,-212380,39426,218.567,swipe right
59.269,68.267,796,1997,1278,2500.981,232400,35210,876400,-6668,-8.998,swipe right
9.094,12.133,200,43,1278,1294.269,-207270,127960,-784000,6609,-3.039,swipe right
10.279,-38.908,140,-113,992,1008.183,4620,-770,17920,17244,49.187,swipe right
51.046,169.647,-1998,365,1642,2611.779,-110670,32480,-426510,16486,-118.601,swipe right
54.728,135.014,-1998,1997,1998,3460.06,337610,-81410,1268260,27185,-80.286,swipe right
49.582,11.099,1203,236,1044,1610.23,-256900,70280,-965860,-7044,38.483,swipe right
7.724,-40.186,103,-87,994,1003.102,-1400,350,24850,24006,47.91,swipe right
51.542,170.064,-1998,350,1611,2590.333,-87290,-44380,-399560,27886,-118.522,swipe right
55.475,156.832,-1998,855,1495,2637.812,217560,-28630,1006390,-32192,-101.357,swipe right
14.632,-4.335,277,-21,1064,1099.666,-134400,70700,-676550,11541,18.967,swipe right
24.806,11.689,406,84,897,988.18,490,10990,45780,46323,13.117,swipe right
71.918,90.028,-1,1997,652,2100.741,-183330,63630,-934430,-2587,-18.11,swipe right
45.801,-166.871,-1998,-466,1995,2861.675,197120,-144550,1160880,4379,212.672,swipe right
18.377,-37.637,201,-155,764,805.06,-13370,69440,-307650,-32622,56.014,swipe right
7.158,48.433,94,106,1128,1136.862,-2030,35140,94780,37765,-41.275,swipe right
55.437,44.985,1998,1997,1946,3430.295,-123830,101430,-815290,-8897,10.452,swipe right
65.644,179.263,-1946,25,881,2136.282,78190,-127260,784280,13547,-113.619,swipe right
19.508,-20.679,355,-134,1071,1136.231,60830,-24570,-99890,-7834,40.187,swipe right
6.189,-57.488,58,-91,995,1000.834,1750,6090,17640,12667,63.677,swipe right
52.415,-167.525,-1998,-442,1575,2582.245,-39340,8680,-51310,37680,219.94,swipe right
67.988,44.985,1998,1997,1142,3046.994,135590,1610,353430,4114,23.003,swipe right
47.483,-168.759,-951,-189,889,1315.463,-93870,-17920,-304150,-43627,216.242,swipe right
13.976,-23.589,229,-100,1004,1034.628,-2030,-770,12810,12316,37.565,swipe right
45.058,-176.334,-1998,-128,1998,2828.496,-57050,-45080,-252560,35288,221.392,swipe right
77.737,44.985,1998,1997,614,2890.849,196560,54250,993790,-16655,32.752,swipe right
38.737,-164.638,-1001,-275,1294,1658.933,-121450,7490,-825860,-32,203.375,swipe right
8.032,-50.339,97,-117,1077,1087.67,2660,420,13230,11723,58.371,swipe right
53.629,-170.956,-1998,-318,1490,2512.613,-7560,-12320,-79170,48332,224.585,swipe right
70.236,44.985,1998,1997,1015,3001.705,137270,-67970,829150,-29660,25.251,swipe right
12.415,176.014,-244,17,1111,1137.605,-116830,110810,-846300,20003,-163.599,swipe right
21.846,-1.529,412,-11,1028,1107.541,4900,-4410,39690,40092,23.375,swipe right
67.952,105.424,-551,1997,839,2235.068,-213780,219380,-954240,8691,-37.472,swipe right
49.04,-165.304,-1998,-524,1793,2735.22,207340,-343560,1141280,-35233,214.344,swipe right
25.171,-9.073,407,-65,877,969.021,-1260,93940,-251720,15948,34.244,swipe right
7.818,4.46,141,11,1030,1039.664,770,5530,40950,39865,3.358,swipe right
52.351,144.77,-1998,1411,1887,3089.286,-136290,51730,-715890,10052,-92.419,swipe right
48.478,-152.299,-1998,-1049,1998,3014.035,196420,-159320,975170,-23595,200.777,swipe right
29.075,-1.729,563,-17,1013,1159.062,-73640,94220,-328440,-16251,30.804,swipe right
6.758,-76.522,29,-121,1050,1057.346,5460,-560,10920,9766,83.28,swipe right
53.129,-178.537,-1998,-51,1499,2498.32,-770,-48720,31430,9521,231.666,swipe right
58.075,44.985,1998,1997,1760,3328.304,84210,60900,370160,16351,13.09,swipe right
24.829,-178.415,-506,-14,1094,1205.432,-55300,-2030,-467040,14883,203.244,swipe right
17.713,-21.139,300,-116,1007,1057.121,1190,-4690,19390,16284,38.852,swipe right
53.593,163.838,-1998,579,1534,2584.647,-23870,31430,-450800,43450,-110.245,swipe right
72.362,109.367,-702,1997,673,2221.202,79170,-187110,1171800,2206,-37.005,swipe right
35.267,11.576,742,152,1071,1311.757,-65450,146300,-822710,-9120,23.691,swipe right
6.133,-61.837,53,-99,1045,1051.016,6860,2660,10360,7981,67.97,swipe right
45.307,-178.967,-1998,-36,1977,2811.019,-21350,28490,-333410,-7014,224.274,swipe right
52.803,123.663,-1330,1997,1821,3012.133,349300,-205100,1296540,45202,-70.86,swipe right
15.367,-176.52,-296,-18,1079,1119.008,-331030,212730,-1065400,1046,191.887,swipe right
23.716,177.199,-552,27,1258,1374.044,13510,-10080,55720,57685,-153.483,swipe right
66.97,57.28,1283,1997,1009,2579.181,-201950,202580,-897050,-22209,9.69,swipe right
50.19,-171.208,-1998,-309,1685,2631.864,160650,-229110,911190,17439,221.398,swipe right
34.492,-10.793,598,-114,886,1074.986,35840,26250,-91490,-34893,45.285,swipe right
11.147,97.943,-18,129,661,673.71,10010,30100,85610,27981,-86.796,swipe right
55.286,44.985,1998,1997,1957,3436.548,-156310,87850,-996310,23827,10.301,swipe right
45.001,-179.369,-1998,-22,1998,2825.684,156380,-190120,1154510,-11200,224.37,swipe right
32.179,-7.308,616,-79,987,1166.132,-5040,74480,-260540,-49042,39.487,swipe right
