sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
218,17000000,2485.051,53.562,-177.993,-1998,-70,1476,2485.051,-149800,6650,-245420,33329,1409.013,48.597,-181.07,-2091,-75,1471,1409.013,-153650,5390,-311010,28483,231.555,swipe right
219,17000000,2169.437,69.746,101.133,-393,1997,751,2169.437,7700,-159600,1524950,40704,-315.614,16.184,279.126,1605,2067,821,-315.614,157500,-166250,1770370,7375,-31.387,swipe right
220,17000000,826.542,54.668,-165.221,-652,-172,478,826.542,-280,23100,71820,37374,-1342.9,-15.078,-266.354,-259,-2169,-1519,-1342.9,-7980,182700,-1453130,-3330,219.889,swipe right
225,18000000,1060.728,17.434,-167.275,-310,-70,1012,1060.728,-14140,18830,28490,36961,51.787,6.613,-5.423,-130,-11,1071,51.787,-3150,32900,27370,19073,184.709,swipe right
226,18000000,2111.496,55.498,-179.341,-1740,-20,1196,2111.496,630,1680,-276850,60288,1050.768,38.064,-12.066,-1430,50,1266,1050.768,14770,-17150,-305340,23327,234.839,swipe right
227,18000000,2704.543,71.526,51.123,1610,1997,857,2704.543,-12320,99190,1489880,25393,593.047,16.028,230.464,3350,2017,877,593.047,-12950,97510,1766730,-34895,20.403,swipe right
228,18000000,680.853,63.95,-168.781,-600,-119,299,680.853,-46200,42630,130340,61322,-2023.69,-7.576,-219.904,-2210,-2116,-1698,-2023.69,-33880,-56560,-1359540,35929,232.731,swipe right
233,19000000,1057.253,4.495,-81.674,12,-82,1054,1057.253,-2660,-2520,9450,10135,15.829,-3.999,60.189,133,13,1149,15.829,-2450,-490,-2170,-1662,86.169,swipe right
234,19000000,1853.909,38.84,178.028,-1162,40,1444,1853.909,-31080,15610,140630,61697,796.656,34.345,259.702,-1174,122,1526,796.656,-28420,18130,131180,51562,-139.188,swipe right
235,19000000,3458.905,54.755,44.985,1998,1997,1996,3458.905,46550,530530,-1528800,30469,1604.996,15.915,-133.043,3160,1957,1956,1604.996,77630,514920,-1669430,-31228,9.77,swipe right
236,19000000,1612.311,28.494,11.777,753,157,1417,1612.311,228550,12880,-357070,61695,-1846.59,-26.261,-33.208,-1245,-1840,-580,-1846.59,182000,-517650,1171730,31226,16.717,swipe right
241,10000000,1078.281,18.759,-174.207,-345,-35,1021,1078.281,1190,8190,47950,48658,46.329,10.031,-14.378,-198,19,1075,46.329,4970,17290,39270,35527,192.966,swipe right
242,10000000,2506.034,90.045,127.167,-1514,1997,-2,2506.034,-234150,-125370,-873320,2833,1427.753,71.286,301.374,-1169,2032,33,1427.753,-235340,-133560,-921270,-45825,-37.122,swipe right
243,10000000,2198.304,116.299,171.479,-1949,292,-974,2198.304,-173530,-72730,-498330,16348,-307.73,26.254,44.312,-435,-1705,-2971,-307.73,60620,52640,374990,13515,-55.18,swipe right
244,10000000,814.388,5.95,-71.35,27,-80,810,814.388,5460,-12040,-4270,13892,-1383.92,-110.349,-242.829,1976,-372,518,-1383.92,178990,60690,494060,-2456,77.3,swipe right
