id,r,theta,phi,acc_x,acc_y,acc_z,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,label
1,1009.739,8.745,-50.815,97.0,-119.0,998.0,0,0,0,0,0,0,
2,1010.351,8.596,-51.991,93.0,-119.0,999.0,0.6119999999999663,-0.14899999999999913,-1.176000000000002,-4.0,0.0,0.0,
3,1008.443,8.639,-51.162,95.0,-118.0,997.0,-1.9080000000000155,0.04299999999999926,0.8290000000000006,2.0,1.0,1.0,
4,1007.528,8.675,-50.339,97.0,-117.0,996.0,-0.9149999999999636,0.036000000000001364,0.8230000000000004,2.0,1.0,1.0,
5,1013.681,8.706,-54.549,89.0,-125.0,1002.0,6.15300000000002,0.030999999999998806,-4.210000000000001,-8.0,-8.0,-8.0,
6,987.678,9.19,-50.659,100.0,-122.0,975.0,-26.003000000000043,0.484,3.8900000000000006,11.0,3.0,3.0,
7,1023.051,8.038,-51.527,89.0,-112.0,1013.0,35.37300000000005,-1.1519999999999992,-0.8680000000000021,-11.0,10.0,10.0,
8,1005.339,8.613,-50.389,96.0,-116.0,994.0,-17.71199999999999,0.5749999999999993,1.1379999999999981,7.0,-4.0,-4.0,
9,1006.171,8.92,-52.028,96.0,-123.0,994.0,0.8319999999999936,0.3070000000000004,-1.6389999999999958,0.0,-7.0,-7.0,
10,1010.327,8.587,-51.458,94.0,-118.0,999.0,4.155999999999949,-0.3330000000000002,0.5700000000000003,-2.0,5.0,5.0,
11,1006.349,8.613,-50.924,95.0,-117.0,995.0,-3.977999999999952,0.0259999999999998,0.5339999999999989,1.0,1.0,1.0,
12,1005.595,8.709,-51.398,95.0,-119.0,994.0,-0.7540000000000191,0.09600000000000009,-0.47400000000000375,0.0,-2.0,-2.0,
13,1007.785,8.771,-51.34,96.0,-120.0,996.0,2.189999999999941,0.062000000000001165,0.05799999999999983,1.0,-1.0,-1.0,
14,1010.562,8.675,-51.927,94.0,-120.0,999.0,2.7770000000000437,-0.09600000000000009,-0.5869999999999962,-2.0,0.0,0.0,
15,1007.36,8.613,-51.458,94.0,-118.0,996.0,-3.201999999999998,-0.062000000000001165,0.4690000000000012,0.0,2.0,2.0,
16,1007.572,8.692,-51.398,95.0,-119.0,996.0,0.21199999999998909,0.07900000000000063,0.05999999999999517,1.0,-1.0,-1.0,
17,1010.351,8.596,-51.991,93.0,-119.0,999.0,2.7789999999999964,-0.09600000000000009,-0.5929999999999964,-2.0,0.0,0.0,
18,1008.585,8.692,-51.927,94.0,-120.0,997.0,-1.7659999999999627,0.09600000000000009,0.06400000000000006,1.0,-1.0,-1.0,
19,1007.572,8.692,-51.398,95.0,-119.0,996.0,-1.0130000000000337,0.0,0.5289999999999964,1.0,1.0,1.0,
20,1008.538,8.675,-50.869,96.0,-118.0,997.0,0.9660000000000082,-0.01699999999999946,0.5290000000000035,1.0,1.0,1.0,
